timestamp,小时,星期,是否周末,是否节假日,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss,宝安供电局,大鹏供电局,福田供电局,光明供电局,龙岗供电局,龙华供电局,罗湖供电局,南山供电局,坪山供电局,深汕特别合作区供电局,盐田供电局,总计,时间段清单,全社会用电总计,　A、全行业用电合计,　　第一产业,　　第二产业,　　第三产业,　B、城乡居民生活用电合计,　　城镇居民,　　乡村居民,　全行业用电分类,　　一、农、林、牧、渔业,　　　   1.农业,　　　   2.林业,　　　   3.畜牧业,　　　   4.渔业,　　　   5.农、林、牧、渔专业及辅助性活动,　　　　     其中：排灌,　　二、工业,　　　（一）采矿业,　　　　    1.煤炭开采和洗选业,　　　　    2.石油和天然气开采业,　　　　    3.黑色金属矿采选业,　　　　    4.有色金属矿采选业,　　　　    5.非金属矿采选业,　　　　    6.其他采矿业,　　　（二）制造业,　　　　    1.农副食品加工业,　　　　    2.食品制造业,　　　　    3.酒、饮料及精制茶制造业,　　　　    4.烟草制品业,　　　　    5.纺织业,　　　　    6.纺织服装、服饰业,　　　　    7.皮革、毛皮、羽毛及其制品和制鞋业,　　　　    8.木材加工和木、竹、藤、棕、草制品业,　　　　    9.家具制造业,　　　　    10.造纸和纸制品业,　　　　    11.印刷和记录媒介复制业,　　　　    12.文教、工美、体育和娱乐用品制造业,　　　　　       其中：体育用品制造,　　　　    13.石油、煤炭及其他燃料加工业,　　　　　       其中：煤化工,　　　　    14.化学原料和化学制品制造业,　　　　　       其中：氯碱,　　　　　       电石,　　　　　       黄磷,　　　　　       其中：肥料制造,　　　　    15.医药制造业,　　　　　       其中：中成药生产,　　　　　       生物药品制品制造,　　　　    16.化学纤维制造业,　　　　    17.橡胶和塑料制品业,　　　　　       其中：橡胶制品业,　　　　　       塑料制品业,　　　　    18.非金属矿物制品业,　　　　　       其中：水泥制造,　　　　　       玻璃制造,　　　　　       陶瓷制品制造,　　　　　       其中：碳化硅,　　　　    19.黑色金属冶炼和压延加工业,　　　　　       其中：钢铁,　　　　　       铁合金冶炼,　　　　    20.有色金属冶炼和压延加工业,　　　　　       其中：铝冶炼,　　　　　       铅锌冶炼,　　　　　       稀有稀土金属冶炼,　　　　    21.金属制品业,　　　　　       其中：结构性金属制品制造,　　　　    22.通用设备制造业,　　　　　       其中：风能原动设备制造,　　　　    23.专用设备制造业,　　　　　       其中：医疗仪器设备及器械制造,　　　　    24.汽车制造业,　　　　　       其中：新能源车整车制造,　　　　    25.铁路.船舶.航空航天和其他运输设备制造业,　　　　　       其中：铁路运输设备制造,　　　　　       城市轨道交通设备制造,　　　　　       航空、航天器及设备制造,　　　　    26.电气机械和器材制造业,　　　　　       其中：光伏设备及元器件制造,　　　　    27.计算机、通信和其他电子设备制造业,　　　　　       其中：计算机制造,　　　　　       通信设备制造,　　　　    28.仪器仪表制造业,　　　　    29.其他制造业,　　　　    30.废弃资源综合利用业,　　　　    31.金属制品、机械和设备修理业,　　　（三）电力、热力、燃气及水生产和供应业,　　　　    1.电力、热力生产和供应业,　　　　    2.燃气生产和供应业,　　　　    3.水的生产和供应业,　　三、建筑业,　　　   1.房屋建筑业,　　　   2.土木工程建筑业,　　　   3.建筑安装业,　　　   4.建筑装饰、装修和其他建筑业,　　四、交通运输、仓储和邮政业,　　　   1.铁路运输业,　　　　     其中：电气化铁路,　　　   2.道路运输业,　　　　     其中：城市公共交通运输,　　　   3.水上运输业,　　　　     其中：港口岸电,　　　   4.航空运输业,　　　   5.管道运输业,　　　   6.多式联运和运输代理业,　　　   7.装卸搬运和仓储业,　　　   8.邮政业,　　五、信息传输、软件和信息技术服务业,　　　   1.电信、广播电视和卫星传输服务,　　　   2.互联网和相关服务,　　　　   其中：互联网数据服务,　　　   3.软件和信息技术服务业,　　六、批发和零售业,　　　   其中：充换电服务业,　　七、住宿和餐饮业,　　八、金融业,　　　九、房地产业,　　　十、租赁和商务服务业,　　　　   其中：租赁业,　　　十一、公共服务及管理组织,　　　　   1.科学研究和技术服务业,　　　　　      其中:地质勘查,　　　　　     其中：科技推广和应用服务业,　　　　   2.水利、环境和公共设施管理业,　　　　　     其中：水利管理业,　　　　　     其中：公共照明,　　　　   3.居民服务、修理和其他服务业,　　　　   4.教育、文化、体育和娱乐业,　　　　　     其中：教育,　　　　   5.卫生和社会工作,　　　　   6.公共管理和社会组织、国际组织
2023-01-01 00:00:00,0,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39015460.62,2748279.37,16095866.27,21792775.16,33256414.99,22539416.91,8977750.319,21000517.075,9603261.18,1552487.83,2384202.87,178966432.594,,179231032.594,138056368.573,128684.36,65077961.18,72849723.033,41174664.021,41174278.241,385.78,138056368.573,154178.84,82767.3,8132.83,21926.24,15857.99,25494.48,3156.14,60889225.79,43213.73,1656,2526.86,"""null""",1396,12810.27,24824.6,53656622.36,298474.2,268033.41,96223.47,12111.6,48328.96,627591.17,703436.67,156932.56,600405.02,611222.18,513846.49,723321.7,44189.62,5291.4,"""null""",588472.41,40.25,"""null""","""null""",6261.5,808868.07,90911.86,220433,86647.87,4029608.68,167681.4,3743583.82,1671487.94,161856.41,230661.39,26821.89,"""null""",110979.68,94605.3,1.38,101693.52,170,"""null""","""null""",4212823.2,203280.18,1633204.43,"""null""",1283770.95,225956.88,1393980.55,975518,761148.65,531,"""null""","""null""",8062821.87,22324,20605061.34,15503.2,4893543.89,219000.84,3043522.63,332720.94,45589.96,7189389.7,4166818.87,553635.03,2468935.8,4234325.35,1347598.55,1770611.15,384239.35,522982.34,13327903.69,3478024.07,1613888.98,8181078.72,7322827.18,9927,4440,728679.13,1385.33,13731.74,884694.24,30383.46,6496054.03,2791914.45,3056526.18,2066522.81,647613.4,11236951.87,2475148.9,3248109,1461929.1,8582253.81,13244157.93,2012914.54,15181279.163,764209.47,6489.38,96130.21,3984979.126,701156.43,1840827.496,2678333.497,3091906.62,2599627.58,2438945,2222905.45
2023-01-01 01:00:00,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-01 02:00:00,2,6,1,1,12,762.7,768.5,-0.6,78,从西北偏北方向吹来的风,1,,6,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,9,18.7,,,2500或更高，或无云。,,,26,8.2,无降水,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-01 03:00:00,3,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-01 04:00:00,4,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-01 05:00:00,5,6,1,1,12.1,762.4,768.2,-0.3,72,从东北偏北方向吹来的风,3,,6,,云量发展情况没有进行观测或无法观测。 ,,,9,18.7,,,2500或更高，或无云。,,,28,7.2,无降水,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-01 06:00:00,6,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-01 07:00:00,7,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-01 08:00:00,8,6,1,1,12.2,763.3,769.1,0.9,69,从东北偏北方向吹来的风,3,,6,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,9.8,18.7,,,2500或更高，或无云。,,,25,6.6,无降水,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-01 09:00:00,9,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
